,num,1,2,3,4,5,6,bonus
493,471,6,13.0,29.0,37.0,39.0,41.0,43
492,472,16,25.0,26.0,31.0,36.0,43.0,44
491,473,8,13.0,20.0,22.0,23.0,36.0,34
490,474,4,13.0,18.0,31.0,33.0,45.0,43
489,475,1,9.0,14.0,16.0,21.0,29.0,3
488,476,9,12.0,13.0,15.0,37.0,38.0,27
487,477,14,25.0,29.0,32.0,33.0,45.0,37
486,478,18,29.0,30.0,37.0,39.0,43.0,8
485,479,8,23.0,25.0,27.0,35.0,44.0,24
484,480,3,5.0,10.0,17.0,30.0,31.0,16
483,481,3,4.0,23.0,29.0,40.0,41.0,20
482,482,1,10.0,16.0,24.0,25.0,35.0,43
481,483,12,15.0,19.0,22.0,28.0,34.0,5
480,484,1,3.0,27.0,28.0,32.0,45.0,11
479,485,17,22.0,26.0,27.0,36.0,39.0,20
478,486,1,2.0,23.0,25.0,38.0,40.0,43
477,487,4,8.0,25.0,27.0,37.0,41.0,21
476,488,2,8.0,17.0,30.0,31.0,38.0,25
475,489,2,4.0,8.0,15.0,20.0,27.0,11
474,490,2,7.0,26.0,29.0,40.0,43.0,42
473,491,8,17.0,35.0,36.0,39.0,42.0,4
472,492,22,27.0,31.0,35.0,37.0,40.0,42
471,493,20,22.0,26.0,33.0,36.0,37.0,25
470,494,5,7.0,8.0,15.0,30.0,43.0,22
469,495,4,13.0,22.0,27.0,34.0,44.0,6
468,496,4,13.0,20.0,29.0,36.0,41.0,39
